name;reference;brand;category;collection;stock;price
Carhartt Tee shirt;I036233/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/02 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/02 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/02 XL;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/89 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/89 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/89 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/89 XL;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036238/89 XS;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036245/02 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036245/02 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036245/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036245/02 XL;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036245/02 XS;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036254/02 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036254/02 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036254/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/02 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/02 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/02 XS;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/89 L;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/89 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036260/89 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036264/02 M;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036264/02 S;carhartt;tee shirt;SS26;2;100
Carhartt Tee shirt;I036264/02 XS;carhartt;tee shirt;SS26;2;100
Carhartt Veste;I036495/30K M;carhartt;veste;SS26;2;100
Carhartt Veste;I036586/0102 M;carhartt;veste;SS26;2;100
Carhartt Veste;I036586/0102 S;carhartt;veste;SS26;2;100
